Diagnosis,ICD-10 Code,ICD Description,Similarity Score,Justification,Alternative Suggestions,Needs Review
Alcoholic cirrhosis of liver with ascites,A01.00,,0.044346004724502563,The diagnosis 'Alcoholic cirrhosis of liver with ascites' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Alcoholic cirrhosis of liver without ascites,A01.00,,0.024975012987852097,The diagnosis 'Alcoholic cirrhosis of liver without ascites' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Alcoholic hepatic failure without coma,A01.00,,-0.016144443303346634,The diagnosis 'Alcoholic hepatic failure without coma' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Alcoholic hepatitis with ascites,A01.00,,0.05118487775325775,The diagnosis 'Alcoholic hepatitis with ascites' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Alcoholic hepatitis without ascites,A01.00,,0.04558075964450836,The diagnosis 'Alcoholic hepatitis without ascites' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Alcoholic polyneuropathy,A01.00,,0.03398239612579346,The diagnosis 'Alcoholic polyneuropathy' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Alkalosis,A01.00,,0.09101884067058563,The diagnosis 'Alkalosis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Allergic rhinitis, cause unspecified",Z98.41,,0.006511464715003967,"The diagnosis 'Allergic rhinitis, cause unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Allergic rhinitis, unspecified",Z98.41,,0.04626486450433731,"The diagnosis 'Allergic rhinitis, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Alopecia, unspecified",A01.00,,0.11622872203588486,"The diagnosis 'Alopecia, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Altered mental status,A00.9,,0.1518784463405609,The diagnosis 'Altered mental status' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
"Altered mental status, unspecified",Z98.41,,0.10924113541841507,"The diagnosis 'Altered mental status, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Alzheimer's disease,A00.9,,0.1274721324443817,The diagnosis 'Alzheimer's disease' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
Amyotrophic lateral sclerosis,A01.00,,0.030751392245292664,The diagnosis 'Amyotrophic lateral sclerosis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Anal or rectal pain,A01.00,,0.1379500925540924,The diagnosis 'Anal or rectal pain' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Anemia due to antineoplastic chemotherapy,Z98.41,,0.009116891771554947,The diagnosis 'Anemia due to antineoplastic chemotherapy' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Anemia in chronic kidney disease,A01.00,,0.014242368750274181,The diagnosis 'Anemia in chronic kidney disease' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Anemia in neoplastic disease,Z98.41,,0.021764876320958138,The diagnosis 'Anemia in neoplastic disease' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Anemia in other chronic diseases classified elsewhere,Z98.41,,-0.031679969280958176,The diagnosis 'Anemia in other chronic diseases classified elsewhere' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Anemia of other chronic disease,A01.00,,0.022730400785803795,The diagnosis 'Anemia of other chronic disease' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Anemia, unspecified",Z98.41,,0.12942688167095184,"The diagnosis 'Anemia, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Anesthesia of skin,Z98.41,,0.1118709072470665,The diagnosis 'Anesthesia of skin' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Aneurysm of artery of lower extremity,A00.9,,0.07698109745979309,The diagnosis 'Aneurysm of artery of lower extremity' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
Ankylosing spondylitis,A01.00,,0.059809282422065735,The diagnosis 'Ankylosing spondylitis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Anorexia,Z98.41,,0.18632744252681732,The diagnosis 'Anorexia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Anorexia nervosa, restricting type",Z98.41,,0.07897515594959259,"The diagnosis 'Anorexia nervosa, restricting type' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Anoxic brain damage, not elsewhere classified",Z98.41,,-0.039109960198402405,"The diagnosis 'Anoxic brain damage, not elsewhere classified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Anticoagulants causing adverse effects in therapeutic use,A01.00,,-0.01109819021075964,The diagnosis 'Anticoagulants causing adverse effects in therapeutic use' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,A01.00,,-0.016294868662953377,The diagnosis 'Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Antineoplastic chemotherapy induced anemia,A01.00,,0.0022046207450330257,The diagnosis 'Antineoplastic chemotherapy induced anemia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Antineoplastic chemotherapy induced pancytopenia,A01.00,,0.0324888676404953,The diagnosis 'Antineoplastic chemotherapy induced pancytopenia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Anuria and oliguria,A01.00,,0.044685475528240204,The diagnosis 'Anuria and oliguria' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Anxiety disorder, unspecified",A01.00,,0.09102816134691238,"The diagnosis 'Anxiety disorder, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
"Anxiety state, unspecified",A01.00,,0.10422559827566147,"The diagnosis 'Anxiety state, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",A00.9 - ; A00.1 - ,True
Aortic valve disorders,A01.00,,0.05534271150827408,The diagnosis 'Aortic valve disorders' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Aortocoronary bypass status,A01.00,,0.05666960030794144,The diagnosis 'Aortocoronary bypass status' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Aphasia,A01.00,,0.15021006762981415,The diagnosis 'Aphasia' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Arthrodesis status,Z98.41,,0.03192956745624542,The diagnosis 'Arthrodesis status' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
"Arthropathy, unspecified, lower leg",Z98.41,,0.06716910749673843,"The diagnosis 'Arthropathy, unspecified, lower leg' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Arthropathy, unspecified, site unspecified",Z98.41,,0.021229887381196022,"The diagnosis 'Arthropathy, unspecified, site unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Aspergillosis,A01.00,,0.09077181667089462,The diagnosis 'Aspergillosis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Assault by unarmed brawl or fight, initial encounter",Z98.41,,0.09612368047237396,"The diagnosis 'Assault by unarmed brawl or fight, initial encounter' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
"Asthma, unspecified type, unspecified",Z98.41,,0.044538941234350204,"The diagnosis 'Asthma, unspecified type, unspecified' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Asymptomatic human immunodeficiency virus [HIV] infection status,A01.00,,0.09410128742456436,The diagnosis 'Asymptomatic human immunodeficiency virus [HIV] infection status' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Ataxia following other cerebrovascular disease,A01.00,,-0.03608753904700279,The diagnosis 'Ataxia following other cerebrovascular disease' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Atelectasis,A01.00,,0.16502608358860016,The diagnosis 'Atelectasis' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Atherosclerosis of aorta,A01.00,,0.0709739401936531,The diagnosis 'Atherosclerosis of aorta' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
"Atherosclerosis of native arteries of extremities with gangrene, left leg",Z98.41,,0.06232210993766785,"The diagnosis 'Atherosclerosis of native arteries of extremities with gangrene, left leg' was matched to ICD-10 description '' with low confidence based on semantic similarity.",Z98.3 - ; A00.0 - ,True
Atherosclerosis of renal artery,A01.00,,0.027759797871112823,The diagnosis 'Atherosclerosis of renal artery' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris,Z98.41,,0.002599163446575403,The diagnosis 'Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris,A01.00,,0.023901421576738358,The diagnosis 'Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Atherosclerotic heart disease of native coronary artery with unstable angina pectoris,A01.00,,0.020508546382188797,The diagnosis 'Atherosclerotic heart disease of native coronary artery with unstable angina pectoris' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Atherosclerotic heart disease of native coronary artery without angina pectoris,Z98.41,,0.02445390820503235,The diagnosis 'Atherosclerotic heart disease of native coronary artery without angina pectoris' was matched to ICD-10 description '' with low confidence based on semantic similarity.,Z98.3 - ; A00.0 - ,True
Atrial fibrillation,A01.00,,0.06616280227899551,The diagnosis 'Atrial fibrillation' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.9 - ; A00.1 - ,True
Atrial flutter,A00.9,,0.15602783858776093,The diagnosis 'Atrial flutter' was matched to ICD-10 description '' with low confidence based on semantic similarity.,A00.1 - ; A00.0 - ,True
